,CB2010,ZipCode,Address,BldgClass,LandUse,OwnerType,OwnerName,LotArea,BldgArea,RetailArea,GarageArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,BldgFront,BldgDepth,LotType,BsmtCode,YearAlter1,XCoord,YCoord,ZoneMap,SHAPE_Leng,SHAPE_Area,Avg. listing price,Avg. sales price,Median sales price,Price per sqft,Trulia popularity,lat,lng
10,1039.0,10001,"511 WEST 35 STREET, New York",G7,10,,511 WEST 35TH STREET,7406,0,0,0,0,0,0,0,0,0,5,5,0,984451,214618,8d,351.499271141,7580.32148498,4995153,2253884,2562500,1727,26,40.75576,-73.99927799999999
11,1017.0,10001,"606 WEST 30 STREET, New York",G1,10,P,WEST 30TH STREET LLC,14812,16052,0,14812,1,1,0,1,150,99,5,2,1987,982932,213761,8b,493.34005506,14603.0683166,4995153,2253884,2562500,1727,26,40.7534221,-74.0048013
12,2003.0,10001,"241 WEST 26 STREET, New York",G1,10,P,"MITCHELL, LYNN SUE",6300,34213,800,33133,1,6,0,1,64,88,5,2,1930,985336,211432,8d,324.690919216,6232.28060399,4995153,2253884,2562500,1727,26,40.7469934,-73.99609559999999
13,1040.0,10001,"435 10 AVENUE, New York",G6,10,P,"509 W 34, L.L.C.",37026,0,0,0,1,0,0,0,0,0,3,5,0,984461,214344,8d,1062.16848574,39053.3057598,4995153,2253884,2562500,1727,26,40.7550253,-73.9993881
14,1008.0,10001,"354 10 AVENUE, New York",G7,10,,EXTELL 31/10 LLC,81847,0,0,0,0,0,0,0,0,0,3,5,0,984436,213120,8d,2045.71340206,71114.6274652,4995153,2253884,2562500,1727,26,40.7521779,-74.0004526
15,2004.0,10001,"6 WEST 29 STREET, New York",G6,10,,PHILMAR REALTY CORP,2469,0,0,0,0,0,0,0,0,0,5,5,0,987672,210847,8d,254.10047456200002,2551.25035331,4995153,2253884,2562500,1727,26,40.7454277,-73.9877514
16,2000.0,10001,"8 AVENUE, New York",G6,10,,384-386 EIGHTH AVENU,6940,0,0,0,0,0,0,0,0,0,5,5,0,985554,212206,8d,349.506299955,7346.45087527,4995153,2253884,2562500,1727,26,40.7525375,-73.9932029
17,1006.0,10001,"124 WEST 31 STREET, New York",G6,10,,124 WEST 31 ST STREE,5103,0,0,0,0,0,0,0,0,0,5,5,0,986896,211847,8d,346.418175179,5274.87802034,4995153,2253884,2562500,1727,26,40.7482403,-73.990493
18,2004.0,10001,"10 WEST 29 STREET, New York",G6,10,,DRUCKER REALTIES,3703,100,0,0,0,1,0,0,0,10,5,5,0,987623,210874,8d,278.101787298,3775.88819048,4995153,2253884,2562500,1727,26,40.74545699999999,-73.98783499999999
19,1006.0,10001,"148 WEST 31 STREET, New York",G6,10,,371 SEVENTH AVENUE CO,2419,0,0,0,0,0,0,0,0,0,5,5,0,986657,211996,8d,249.11980080900003,2493.27472271,4995153,2253884,2562500,1727,26,40.7487416,-73.9916574
20,1005.0,10001,"225 WEST 30 STREET, New York",G1,10,,"NEW GARDEN GARAGE,",30957,245542,6725,238817,1,6,0,5,168,198,4,2,1957,986077,212260,8d,744.872031548,31994.5210166,4995153,2253884,2562500,1727,26,40.749272,-73.993383
21,1010.0,10001,"415 8 AVENUE, New York",G6,10,P,KEDEM REALTY 415 LLC,8636,0,0,0,0,0,0,0,0,0,3,5,0,985535,212647,8d,487.449034223,9279.27651719,4995153,2253884,2562500,1727,26,40.75033699999999,-73.9953589
22,1003.0,10001,"323 WEST 34 STREET, New York",G1,10,,LINCOLN CROWN RLTY CO,20638,103191,10000,93191,1,4,0,1,105,148,4,2,1956,985783,213642,8d,640.101418537,23525.0973455,4995153,2253884,2562500,1727,26,40.7530861,-73.9944637
23,2001.0,10001,"250 WEST 29 STREET, New York",G6,10,,249 W. 28TH STREET PR,975,0,0,0,1,0,0,0,0,0,5,5,0,985594,212030,8d,134.065037578,1049.35820927,4995153,2253884,2562500,1727,26,40.7485241,-73.99524699999999
24,2001.0,10001,"251 WEST 28 STREET, New York",G6,10,P,249 W. 28TH STREET PR,8080,0,0,0,0,0,0,0,0,0,5,5,0,985551,211934,8d,438.62970034,8623.53561802,4995153,2253884,2562500,1727,26,40.7484207,-73.9953604
25,2001.0,10001,"247 WEST 28 STREET, New York",G6,10,,249 W 28TH STREET PRO,10575,0,0,0,0,0,0,0,0,0,4,5,0,985606,211935,8d,563.987259076,11238.2430239,4995153,2253884,2562500,1727,26,40.7483395,-73.9950831
26,2004.0,10001,"WEST 28 STREET, New York",G6,10,,DRUCKER MITCHEL,7456,0,0,0,0,0,0,0,0,0,4,5,0,987609,210802,8d,512.501253541,7761.27372254,4995153,2253884,2562500,1727,26,40.7490692,-73.9969217
27,2003.0,10001,"29 WEST 28 STREET, New York",G1,10,,RP1185 LLC,11525,63135,0,63135,1,7,0,1,104,79,5,0,1965,987255,210965,8d,519.792168409,11608.9871724,4995153,2253884,2562500,1727,26,40.7457017,-73.98920070000001
28,2001.0,10001,"1241 BROADWAY, New York",G6,10,,DRUCKER ASSOCIATES,12755,0,0,0,1,0,0,0,0,0,3,5,0,987389,211578,8d,470.599590051,13522.3420552,4995153,2253884,2562500,1727,26,40.747434,-73.98872
29,2004.0,10001,"7 WEST 28 STREET, New York",G6,10,,DRUCKER REALTIES,2420,0,0,0,0,0,0,0,0,0,5,5,0,987622,210757,8d,258.40019797900004,2605.0006407,4995153,2253884,2562500,1727,26,40.7451984,-73.9879006
30,2000.0,10001,"211 WEST 29 STREET, New York",G6,10,,211 SEA FOAM PROPERTI,4543,0,0,0,0,0,0,0,0,0,5,5,0,986081,211903,8d,297.33098073,4776.52665582,4995153,2253884,2562500,1727,26,40.7483035,-73.99338999999999
31,1003.0,10001,"355 WEST 34 STREET, New York",G6,10,,361 W 34 ST CP,14175,0,0,0,0,0,0,0,0,0,4,5,0,985506,213740,8d,590.414456667,14261.3129453,4995153,2253884,2562500,1727,26,40.7533469,-73.9955633
32,1002.0,10001,"140 WEST 28 STREET, New York",G6,10,,"140-144 WEST 28, LLC",7571,0,0,0,1,0,0,0,0,0,5,5,0,986347,211283,8d,344.320632751,7237.28178873,4995153,2253884,2562500,1727,26,40.746591,-73.9924319
33,2001.0,10001,"241 WEST 28 STREET, New York",G7,10,,JAY STREET ASSOCIATES,9885,0,0,0,1,0,0,0,0,0,5,5,0,985649,211904,8d,523.738160194,10662.5928481,4995153,2253884,2562500,1727,26,40.748304,-73.994956
34,2000.0,10001,"253 WEST 29 STREET, New York",G6,10,,384-386 EIGHTH AVENU,4938,0,0,0,0,0,0,0,0,0,5,5,0,985638,212147,8d,295.395156946,4678.11202246,4995153,2253884,2562500,1727,26,40.748981,-73.99498299999999
35,1010.0,10001,"305 WEST 30 STREET, New York",G6,10,,KEDEM REALTY 415 LLC,2469,0,0,0,0,0,0,0,0,0,5,5,0,985444,212545,8d,265.817718126,2707.25827692,4995153,2253884,2562500,1727,26,40.750081,-73.9956739
36,2005.0,10001,"9 WEST 35 STREET, New York",G1,10,P,9 WEST 35TH STREET LL,16700,69500,0,69500,1,5,0,1,119,198,4,2,1963,988453,212402,8d,647.438855367,17192.0642645,4995153,2253884,2562500,1727,26,40.7497773,-73.98482770000001
37,3000.0,10002,"90 MADISON STREET, New York",G6,10,,FIRST CHINESE PRES CH,5000,0,0,0,1,0,0,0,0,0,5,5,0,985381,198662,12d,308.352363445,5208.80748599,2645209,1081187,1034750,1552,28,40.711947,-73.99591
38,2000.0,10002,"38 HENRY STREET, New York",G6,10,,HENRY MADISON ASSOC.,2517,0,0,0,1,0,0,0,0,0,5,5,0,985335,198920,12d,258.206454407,2680.9940605,2645209,1081187,1034750,1552,28,40.712658,-73.996072
39,2000.0,10002,"38 HENRY STREET, New York",G6,10,,HENRY MADISON ASSOC.,7940,0,0,0,1,0,0,0,0,0,5,5,0,985387,198926,12d,364.241367188,8146.63977463,2645209,1081187,1034750,1552,28,40.712658,-73.996072
40,2000.0,10002,"89 MADISON STREET, New York",G6,10,,31 MONROE REALTY LLC,5029,0,0,0,1,0,0,0,0,0,5,5,0,985413,198825,12d,305.125000076,5128.08004549,2645209,1081187,1034750,1552,28,40.712408,-73.99579899999999
41,5002.0,10002,"203 SOUTH STREET, New York",G7,10,,220 SOUTH STREET LAND,810,0,0,0,1,0,0,0,0,0,3,5,0,985414,197715,12d,125.931977968,888.867379029,2645209,1081187,1034750,1552,28,40.7092779,-73.99572669999999
42,2000.0,10002,"87 MADISON STREET, New York",G6,10,,HENRY MADISON ASSOC.,2866,0,0,0,1,0,0,0,0,0,5,5,0,985374,198821,12d,263.141528725,2975.1550844,2645209,1081187,1034750,1552,28,40.712396,-73.99593899999999
43,2000.0,10002,"HENRY STREET, New York",G6,10,,HENRY MADISON ASSOCIA,2470,0,0,0,0,0,0,0,0,0,5,5,0,985310,198917,12d,252.822377975,2402.49137074,2645209,1081187,1034750,1552,28,40.7134469,-73.9893645
44,3000.0,10002,"88 MADISON STREET, New York",G6,10,P,1 CHINESE PRESBYTRIAN,2500,0,0,0,0,0,0,0,0,0,5,5,0,985344,198658,12d,257.190773157,2542.38243553,2645209,1081187,1034750,1552,28,40.7119397,-73.9959947
45,1001.0,10002,"49 HENRY STREET, New York",G6,10,,CHIN AS TO A 50% INT,14500,0,0,0,1,0,0,0,0,0,5,5,0,985560,199103,12d,500.087706164,14635.9348538,2645209,1081187,1034750,1552,28,40.7132032,-73.99521539999999
46,1001.0,10002,"89 CHRYSTIE STREET, New York",G1,10,P,CHRYSTIE ST RLTY CO,5724,17856,0,17856,1,4,0,1,57,101,5,5,1925,985796,200753,12c,320.79409085099996,5838.1793572,2645209,1081187,1034750,1552,28,40.7176997,-73.9944081
47,2001.0,10002,"236 BROOME STREET, New York",Z2,10,P,SITE 1 DSA OWNER LLC,21784,0,0,0,0,0,0,0,0,0,4,5,0,987297,200885,12c,671.963503962,22451.2496115,2645209,1081187,1034750,1552,28,40.71803,-73.98896200000001
48,2001.0,10002,"79 ELDRIDGE STREET, New York",G7,10,,ELDRIDGE HOTEL LLC,2525,0,0,0,1,0,0,0,0,0,5,5,0,986248,200535,12c,258.2909347,2682.9340109,2645209,1081187,1034750,1552,28,40.717103,-73.99279
49,6007.0,10002,"85 HENRY STREET, New York",G6,10,,MEI TONG REALTY LLC,5625,0,0,0,1,0,0,0,0,0,5,5,0,986106,199152,12d,303.718117862,5762.84559093,2645209,1081187,1034750,1552,28,40.713307,-73.993301
50,,10002,"CHERRY STREET, New York",G7,10,X,,31341,0,0,0,0,0,0,0,0,0,5,5,0,0,0,12d,803.3541963389999,31414.3751402,2645209,1081187,1034750,1552,28,40.71145870000001,-73.98750609999999
51,,10002,"NORFOLK STREET, New York",G6,10,,,24957,0,0,0,0,0,0,0,0,0,3,5,0,0,0,12c,843.157191083,25006.811885,2645209,1081187,1034750,1552,28,40.7189951,-73.9870694
52,1001.0,10002,"47 HENRY STREET, New York",G6,10,,LIN AS TO A 50% INTE,2500,0,0,0,1,0,0,0,0,0,5,5,0,985471,199095,12d,255.152553587,2613.52928551,2645209,1081187,1034750,1552,28,40.713151,-73.99559599999999
53,6012.0,10002,"MADISON STREET, New York",G7,10,P,MADISON&MKT ST RLTYCP,2510,0,0,0,0,0,0,0,0,0,5,5,0,985951,198725,12d,257.540765099,2541.66999608,2645209,1081187,1034750,1552,28,40.7125773,-73.9909934
54,3002.0,10002,"26 FORSYTH STREET, New York",G6,10,P,SUN AND SON CORP,8340,945,0,945,2,1,0,2,20,47,3,5,1952,985847,199734,12d,472.301420095,8645.07449373,2645209,1081187,1034750,1552,28,40.71482049999999,-73.9941718
55,3003.0,10002,"8 ELDRIDGE STREET, New York",G1,10,P,DAI FUNG RLTY CORP,16099,2652,0,2652,2,1,0,1,22,65,4,5,1940,986054,199583,12d,566.164754534,9910.81418561,2645209,1081187,1034750,1552,28,40.7145259,-73.9935016
56,6013.0,10002,"144 MADISON STREET, New York",G7,10,C,DEPT OF ENVIRONMENTAL,1700,0,0,0,1,0,0,0,0,0,5,5,0,986174,198767,12d,225.11601755200002,1439.99553587,2645209,1081187,1034750,1552,28,40.7122436,-73.99304149999999
57,1002.0,10002,"145 CLINTON STREET, New York",G6,10,,,40690,0,0,0,0,0,0,0,0,0,0,5,0,987773,200714,12c,805.231638773,40526.161386,2645209,1081187,1034750,1552,28,40.7164504,-73.98679589999999
58,1007.0,10002,"10 PITT STREET, New York",G7,10,P,ANSCHEL BIALYSTOCK,5795,0,0,0,1,0,0,0,0,0,5,5,0,988794,200003,12c,295.024565308,5431.57239063,2645209,1081187,1034750,1552,28,40.71563769999999,-73.9836062
59,2000.0,10002,"290 MADISON STREET, New York",G7,10,O,NEW YORK CITY HOUSING,4865,0,0,0,0,0,0,0,0,0,3,5,0,988327,198997,12d,273.83762098799997,4508.66515349,2645209,1081187,1034750,1552,28,40.7128555,-73.9852994
60,1000.0,10002,"215 HENRY STREET, New York",G7,10,P,"CHU & MUI INDUSTRIES,",2153,0,0,0,0,0,0,0,0,0,5,5,0,987927,199356,12d,229.91587998400001,2252.19740723,2645209,1081187,1034750,1552,28,40.713862,-73.986741
61,1000.0,10002,"61 PITT STREET, New York",G7,10,P,"CHAMP'S RUN, LLC",2487,0,0,0,0,0,0,0,0,0,5,5,0,988938,200807,12c,256.375391686,2508.50332391,2645209,1081187,1034750,1552,28,40.7178461,-73.9830848
62,1008.0,10002,"DELANCEY STREET, New York",G7,10,P,U J C BIALYSTOKER HOU,18758,0,0,0,1,0,0,0,0,0,3,5,0,988908,200218,12c,688.06172247,18217.8505859,2645209,1081187,1034750,1552,28,40.7178006,-73.9852709
63,2007.0,10002,"426 GRAND STREET, New York",G7,10,C,HOUSING PRESERVATION,3600,0,0,0,0,0,0,0,0,0,5,5,0,988245,200091,12c,265.935665938,3749.68301093,2645209,1081187,1034750,1552,28,40.7158799,-73.9855853
64,1000.0,10002,"HENRY STREET, New York",G7,10,P,53 LITTLE WEST 12THST,1846,0,0,0,0,0,0,0,0,0,3,5,0,988301,199394,12d,218.16522442,2087.76280734,2645209,1081187,1034750,1552,28,40.7134469,-73.9893645
65,3003.0,10002,"275 DELANCEY STREET, New York",G1,10,,HILLMAN HOUSING CORP,31845,98862,0,95000,1,3,0,2,145,170,3,2,1952,989650,199945,12d,777.1879188639999,35863.2750365,2645209,1081187,1034750,1552,28,40.715466,-73.980471
66,2001.0,10002,"95 ATTORNEY STREET, New York",G1,10,P,91/93/95 HIGHGATE LLC,6633,4000,0,4000,2,2,0,1,20,100,5,5,1910,988471,200989,12c,333.150294213,6601.83540739,2645209,1081187,1034750,1552,28,40.7184063,-73.9847431
67,1003.0,10002,"145 CLINTON STREET, New York",G6,10,,,40690,0,0,0,0,0,0,0,0,0,0,5,0,988005,200620,12c,795.552895879,39550.0712224,2645209,1081187,1034750,1552,28,40.7164504,-73.98679589999999
68,3002.0,10002,"7 STANTON STREET, New York",G7,10,,HARLEN SALES CO INC,982,0,0,0,0,0,0,0,0,0,5,5,0,986307,202513,12c,146.396602119,1063.96440777,2645209,1081187,1034750,1552,28,40.7224979,-73.99258429999999
69,3001.0,10002,"271 BOWERY, New York",G7,10,C,HOUSING PRESERVATION,1730,0,0,0,0,0,0,0,0,0,5,5,0,986347,202907,12c,208.881438173,1824.08703602,2645209,1081187,1034750,1552,28,40.723605,-73.992419
70,2000.0,10002,"ELDRIDGE STREET, New York",G7,10,C,DCAS/DEPARTMENT OF ED,9093,0,0,0,0,0,0,0,0,0,3,5,0,986964,202384,12c,404.951949553,9295.63992485,2645209,1081187,1034750,1552,28,40.7185858,-73.9917517
71,2001.0,10002,"159 LUDLOW STREET, New York",G7,10,,159 LUDLOW LLC,1063,0,0,0,1,0,0,0,0,0,5,5,0,987566,201975,12c,140.696989753,1153.79218019,2645209,1081187,1034750,1552,28,40.721048,-73.9880419
72,3002.0,10002,"5 STANTON STREET, New York",G7,10,P,HARLEN SALES CO INC,1023,0,0,0,0,0,0,0,0,0,5,5,0,986289,202520,12c,145.387655363,1037.29764314,2645209,1081187,1034750,1552,28,40.72251809999999,-73.9926563
73,2000.0,10002,"ELDRIDGE STREET, New York",G7,10,C,DCAS/DEPARTMENT OF ED,980,0,0,0,0,0,0,0,0,0,5,5,0,987006,202416,12c,143.232007588,949.332465316,2645209,1081187,1034750,1552,28,40.7185858,-73.9917517
74,3001.0,10002,"112 LUDLOW STREET, New York",Z2,10,C,NYC DEPT OF HIGHWAYS,22402,132750,0,132750,1,5,0,0,126,177,4,5,1971,987497,201357,12c,617.037273886,22990.8693072,2645209,1081187,1034750,1552,28,40.719352,-73.9883894
75,1001.0,10002,"149 RIDGE STREET, New York",G1,10,,149 RIDGE ST REALTY,2500,2500,0,2500,1,1,0,2500,25,100,5,5,1952,989007,201670,12c,253.740143703,2533.03793464,2645209,1081187,1034750,1552,28,43.3150177,-73.6434392
76,1002.0,10002,"147 ATTORNEY STREET, New York",G1,10,P,147 ATTORNEY STREET,2040,1850,0,1850,1,1,0,1,34,56,5,0,1963,988772,201702,12c,196.498798838,2267.39680531,2645209,1081187,1034750,1552,28,40.7203019,-73.98368649999999
77,1002.0,10002,"153 ATTORNEY STREET, New York",G2,10,P,STEFCAN ASSOCIATES IN,5050,6250,0,6250,1,1,0,1,51,95,5,2,1950,988769,201751,12c,307.392157935,5222.45318991,2645209,1081187,1034750,1552,28,40.7205278,-73.98388609999999
78,1001.0,10002,"147 RIDGE STREET, New York",G1,10,P,147 RIDGE LLC,2500,2500,0,2500,1,1,0,1,0,0,5,5,1986,988998,201646,12c,254.599571138,2554.30180103,2645209,1081187,1034750,1552,28,43.3148316,-73.6431982
79,1001.0,10002,"152 ATTORNEY STREET, New York",G1,10,,"MARQUES, MARIO",2500,2500,0,2500,1,1,0,1,25,95,5,0,1951,988903,201684,12c,253.15046759900002,2503.42864724,2645209,1081187,1034750,1552,28,40.7202539,-73.98320799999999
80,1001.0,10003,"66 EAST 1 STREET, New York",G1,10,,"J&A REALTY ASSOC.,INC",3245,3250,0,3250,1,1,0,1,25,128,5,0,1900,987331,202959,12c,315.134378759,3271.08599481,4009462,2110637,2200000,2020,14,43.4595514,-76.5092876
81,3001.0,10003,"19 EAST 3 STREET, New York",G7,10,P,70 EAST 4TH CULTURAL,2100,0,0,0,0,0,0,0,0,0,0,5,0,986863,203815,12c,231.019072357,2295.23366055,4009462,2110637,2200000,2020,14,40.7262306,-73.9906455
82,1000.0,10003,"220 EAST 9 STREET, New York",G1,10,,PENBER 9TH STREET GAR,7875,22460,0,22460,2,4,0,2,105,74,5,2,1926,987469,205042,12c,370.46329436800005,8407.0021905,4009462,2110637,2200000,2020,14,40.7294465,-73.9883081
83,2003.0,10003,"410 LAFAYETTE STREET, New York",G6,10,P,410-414 LAFAYETTE ST.,8020,0,0,0,0,0,0,0,0,0,5,5,0,986204,204757,12c,409.589966185,8905.89650419,4009462,2110637,2200000,2020,14,40.7286578,-73.9927158
84,2004.0,10003,"27 EAST 4 STREET, New York",G1,10,,KALODOP II PARK CORP,3456,3600,0,3600,1,1,0,1,27,129,5,5,1931,986370,204426,12c,314.97292736400004,3397.35333169,4009462,2110637,2200000,2020,14,40.727778,-73.9923489
85,2004.0,10003,"403 LAFAYETTE STREET, New York",G1,10,,KALODOP PARK CORP,11985,33996,0,33996,1,3,0,1,81,150,5,0,1931,986358,204556,12c,472.751283796,12424.1934186,4009462,2110637,2200000,2020,14,40.7281419,-73.9923939
86,5001.0,10003,"324 EAST 11 STREET, New York",G6,10,,FRACLAC RLTY CORP,2375,2375,0,2375,0,0,0,1,0,0,5,5,0,988350,205108,12c,243.133544529,2452.27811751,4009462,2110637,2200000,2020,14,40.729639,-73.985204
87,6000.0,10003,"326 EAST 14 STREET, New York",G7,10,X,NEW YORK EYE EAR INET,2323,0,0,0,0,0,0,0,0,0,5,5,0,988677,205835,12c,252.783544922,2263.48386054,4009462,2110637,2200000,2020,14,40.731632,-73.984025
88,6000.0,10003,"315 EAST 13 STREET, New York",G6,10,X,NY EYE & EAR INFIRMAR,7124,0,0,0,0,0,0,0,0,0,5,5,0,988526,205797,12c,348.24348485300004,7145.22117665,4009462,2110637,2200000,2020,14,40.731538,-73.984566
89,5001.0,10003,"310 EAST 11 STREET, New York",G1,10,P,S & S 310 LLC,4579,21700,0,21700,1,5,0,1,48,89,5,2,1925,988219,205181,12c,291.489210986,4774.12145134,4009462,2110637,2200000,2020,14,40.7298511,-73.985676
90,1002.0,10003,"43 EAST 18 STREET, New York",G7,10,P,43 EAST 18 L.L.C.,1840,0,0,0,1,0,0,0,0,0,5,5,0,987239,208017,12c,241.207852713,2142.01928524,4009462,2110637,2200000,2020,14,40.7376549,-73.989211
91,2001.0,10003,"68 EAST 11 STREET, New York",G1,10,P,BF/RF REALTY LLC,4010,21595,0,21595,1,6,0,1,42,94,5,2,1931,986408,206183,12c,284.570329232,4229.31295028,4009462,2110637,2200000,2020,14,40.7326067,-73.9922065
92,2004.0,10003,"EAST 17 STREET, New York",G6,10,,6 EAST 17TH STREET L,9200,0,0,0,0,0,0,0,0,0,5,5,0,986557,207950,12c,385.8670278,9294.91127202,4009462,2110637,2200000,2020,14,40.7355362,-73.98660199999999
93,3001.0,10003,"112 EAST 16 STREET, New York",G1,10,,EAST 16TH STREET OWNE,6660,50174,0,50174,1,9,0,1,64,88,5,0,1962,987390,207206,12c,339.427272303,6799.9724023,4009462,2110637,2200000,2020,14,40.7354,-73.988664
94,2001.0,10003,"EAST 20 STREET, New York",G6,10,,NEW YORK CITY TRANSIT,4600,0,0,0,1,0,0,0,0,0,5,5,0,986898,208598,8d,290.66605413,4746.97520633,4009462,2110637,2200000,2020,14,40.7360128,-73.9822792
95,1005.0,10004,"14 SOUTH WILLIAM STREET, New York",G1,10,,10-26 SOUTH WILLIAM S,11398,87775,3000,84775,1,8,0,3,134,99,5,2,2010,981256,196014,12b,480.426260564,12318.9878725,2232344,1705000,1872500,1432,39,40.7046717,-74.010699
96,1014.0,10006,"111 WASHINGTON STREET, New York",G6,10,P,FRED RICH LLC,11255,0,0,0,0,0,0,0,0,0,3,5,0,980389,197506,12b,462.19795156,11737.1494393,2643452,1235857,1050000,1553,37,40.7088357,-74.0137938
97,2004.0,10007,"69 WARREN STREET, New York",G6,10,,WARREN CO,3156,0,0,0,0,0,0,0,0,0,3,5,0,981475,199733,12b,262.574436452,3493.80894022,5906956,4359101,3950000,2064,23,40.7148466,-74.0100657
98,2001.0,10007,"86 WARREN STREET, New York",G6,10,,86-90 WARREN ST. L.L.,7283,0,0,0,0,0,0,0,0,0,5,5,0,981346,199978,12b,350.9319487,7462.74471668,5906956,4359101,3950000,2064,23,40.7156253,-74.01046819999999
99,1017.0,10007,"37 CHAMBERS STREET, New York",G7,10,C,NYC DCAS,11325,0,0,0,0,0,0,0,0,0,3,5,0,982918,199352,12b,504.450228808,14585.2403071,5906956,4359101,3950000,2064,23,40.7138529,-74.0048046
100,2000.0,10009,"640 EAST 6 STREET, New York",G1,10,O,NEW YORK CITY HSG AUT,4074,1100,0,1100,1,1,0,1,0,0,5,5,1993,989750,202912,12c,283.67223471,4140.83240643,1970250,1022777,932500,1377,20,42.0996023,-79.23283800000002
101,2000.0,10009,"644 EAST 6 STREET, New York",G7,10,O,NEW YORK CITY HSG AUT,6211,0,0,0,1,0,0,0,0,0,5,5,0,989796,202887,12c,329.171678323,6437.46945807,1970250,1022777,932500,1377,20,42.0996269,-79.23262989999999
102,1001.0,10009,"218 EAST 2 STREET, New York",G7,10,C,DEPT OF GENERAL SERVI,6570,0,0,0,1,0,0,0,0,0,5,5,0,989050,202304,12c,345.924332017,6399.51604732,1970250,1022777,932500,1377,20,40.721952,-73.98268999999999
103,2002.0,10009,"617 EAST 6 STREET, New York",G1,10,P,"BLASOF, ABRAHAM",2256,2258,0,2258,1,1,0,1,24,90,5,0,1964,989647,203144,12c,240.05747994599997,2339.0750593,1970250,1022777,932500,1377,20,42.0999078,-79.2342855
104,6001.0,10009,"534 EAST 5 STREET, New York",G7,10,P,534 E 5TH ST RLTY COR,1859,0,0,0,0,0,0,0,0,0,5,5,0,988951,203069,12c,228.228601245,1722.25089491,1970250,1022777,932500,1377,20,40.724038,-73.983042
105,3001.0,10009,"406 EAST 11 STREET, New York",G7,10,,FOUR GUDS RLTY CORP,2369,450,0,0,1,1,0,1,0,18,5,5,0,988804,204856,12c,245.236777145,2377.09646812,1970250,1022777,932500,1377,20,40.728951,-73.983569
106,3001.0,10009,"645 EAST 9 STREET, New York",G7,10,X,,2300,0,0,0,0,0,0,0,0,0,0,5,0,990249,203660,12c,240.29769623200002,2361.91743396,1970250,1022777,932500,1377,20,40.725679,-73.9783549
107,3001.0,10009,"EAST 9 STREET, New York",G7,10,P,"ADEIA ASSOCIATES, L.P",2768,0,0,0,0,0,0,0,0,0,5,5,0,990181,203698,12c,250.523164253,2854.01322067,1970250,1022777,932500,1377,20,40.7287239,-73.9861761
